date,year,area_id,area_name,display_name,area,lat,lon,property_type,txn_count,median_pps,median_price,median_area_sqft
2022-02-01,2022,122,Dubai Investment Park First,Dubai Investment Park 1,Dubai Investment Park 1,24.99,55.17,Unit,16,4341.51,416511.00,92.86
2022-02-01,2022,122,Dubai Investment Park First,Dubai Investment Park 1,Dubai Investment Park 1,24.99,55.17,Villa,23,9251.14,1290812.00,139.53
2022-02-01,2022,126,Hadaeq Sheikh Mohammed Bin Rashid,Mohammed Bin Rashid City,Mohammed Bin Rashid City,25.16,55.29,Land,34,10767.43,17705500.00,1644.34
2022-02-01,2022,126,Hadaeq Sheikh Mohammed Bin Rashid,Mohammed Bin Rashid City,Mohammed Bin Rashid City,25.16,55.29,Unit,147,16715.06,2033888.00,121.68
2022-02-01,2022,126,Hadaeq Sheikh Mohammed Bin Rashid,Mohammed Bin Rashid City,Mohammed Bin Rashid City,25.16,55.29,Villa,62,11996.73,4775000.00,397.84
2022-02-01,2022,133,Jabal Ali First,Discovery Gardens & The Gardens,Discovery Gardens & The Gardens,25.05,55.13,Land,237,7157.70,4588800.00,641.10
2022-02-01,2022,133,Jabal Ali First,Discovery Gardens & The Gardens,Discovery Gardens & The Gardens,25.05,55.13,Unit,167,9646.33,700999.00,72.67
2022-02-01,2022,133,Jabal Ali First,Discovery Gardens & The Gardens,Discovery Gardens & The Gardens,25.05,55.13,Villa,27,9799.11,2195000.00,224.00
2022-02-01,2022,135,Jabal Ali Industrial Second,,Jabal Ali Industrial Second,,,Unit,18,12758.71,429000.00,33.62
2022-02-01,2022,138,Jumeirah First,Jumeirah 1,Jumeirah 1,25.22,55.26,Unit,32,21615.79,1656500.00,76.63
2022-02-01,2022,144,Madinat Al Mataar,Dubai South,Dubai South,24.91,55.16,Unit,20,6962.87,330000.00,47.56
2022-02-01,2022,144,Madinat Al Mataar,Dubai South,Dubai South,24.91,55.16,Villa,20,7716.52,1302500.00,168.70
2022-02-01,2022,148,Marsa Dubai,Dubai Marina,Dubai Marina,25.08,55.14,Unit,423,22030.03,1350000.00,61.28
2022-02-01,2022,149,Me'Aisem First,Dubai Production City (IMPZ),Dubai Production City (IMPZ),25.03,55.19,Unit,42,8424.47,1075000.00,127.60
2022-02-01,2022,149,Me'Aisem First,Dubai Production City (IMPZ),Dubai Production City (IMPZ),25.03,55.19,Villa,17,11463.60,7350000.00,641.16
2022-02-01,2022,152,Muhaisanah First,,Muhaisanah First,,,Unit,98,12373.53,1034800.00,83.63
2022-02-01,2022,161,Nad Al Shiba First,Nad Al Sheba 1,Nad Al Sheba 1,25.16,55.31,Villa,11,14453.41,7400000.00,511.99
2022-02-01,2022,164,Nad Al Shiba Third,Nad Al Sheba 3,Nad Al Sheba 3,25.15,55.36,Land,31,5771.03,2708000.00,469.24
2022-02-01,2022,167,Nadd Hessa,Dubai Silicon Oasis,Dubai Silicon Oasis,25.12,55.39,Unit,65,6539.96,528821.00,80.86
2022-02-01,2022,174,Palm Jumeirah,Palm Jumeirah,Palm Jumeirah,25.12,55.14,Land,11,4144.11,261576.00,63.12
2022-02-01,2022,174,Palm Jumeirah,Palm Jumeirah,Palm Jumeirah,25.12,55.14,Unit,88,22347.04,2675000.00,120.42
2022-02-01,2022,198,Um Suqaim Third,Umm Suqeim 3,Umm Suqeim 3,25.14,55.20,Unit,18,21699.32,1550000.00,71.43
2022-02-01,2022,200,Wadi Al Safa 2,Dubailand,Dubailand,25.06,55.25,Unit,13,4402.28,355000.00,80.64
2022-02-01,2022,201,Wadi Al Safa 3,Dubai Hills Estate,Dubai Hills Estate,25.12,55.26,Unit,47,8396.31,2200000.00,262.02
2022-02-01,2022,203,Wadi Al Safa 5,Liwan,Liwan,25.11,55.37,Land,46,10463.89,6396888.00,611.33
2022-02-01,2022,203,Wadi Al Safa 5,Liwan,Liwan,25.11,55.37,Unit,71,6789.29,550000.00,81.01
2022-02-01,2022,203,Wadi Al Safa 5,Liwan,Liwan,25.11,55.37,Villa,230,9087.91,1622000.00,178.50
2022-02-01,2022,204,Wadi Al Safa 6,Arabian Ranches,Arabian Ranches,25.05,55.28,Villa,27,7667.77,2500000.00,326.04
2022-02-01,2022,205,Wadi Al Safa 7,Mudon,Mudon,25.02,55.27,Villa,96,9576.23,3205000.00,334.62
2022-02-01,2022,207,Warsan Fourth,Al Warsan 4,Al Warsan 4,25.13,55.41,Unit,14,6719.20,328300.00,48.86
2022-02-01,2022,210,Zaabeel Second,Zabeel 2,Zabeel 2,25.23,55.29,Unit,22,19942.43,1650000.00,82.99
2022-03-01,2022,9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,25.05,55.19,Unit,23,9755.82,843000.00,86.41
2022-03-01,2022,10,Al Barsha South Fourth,Arjan,Arjan,25.06,55.24,Unit,429,10445.60,731610.00,70.04
2022-03-01,2022,10,Al Barsha South Fourth,Arjan,Arjan,25.06,55.24,Villa,22,8109.81,2150000.00,263.36
2022-03-01,2022,13,Al Barshaa South Second,Al Barsha South 2,Al Barsha South 2,25.07,55.23,Unit,10,13564.85,556809.00,41.05
2022-03-01,2022,14,Al Barshaa South Third,Al Barsha South 3,Al Barsha South 3,25.06,55.24,Unit,216,12497.54,635000.00,50.81
2022-03-01,2022,28,Al Hebiah Fifth,DAMAC Hills 2 (Akoya),DAMAC Hills 2 (Akoya),24.99,55.37,Land,540,11847.22,1706000.00,144.00
2022-03-01,2022,28,Al Hebiah Fifth,DAMAC Hills 2 (Akoya),DAMAC Hills 2 (Akoya),24.99,55.37,Unit,29,7869.79,735196.00,93.42
2022-03-01,2022,29,Al Hebiah First,Arabian Ranches III,Arabian Ranches III,24.98,55.26,Unit,30,7545.51,650000.00,86.14
2022-03-01,2022,30,Al Hebiah Fourth,DAMAC Hills,DAMAC Hills,25.03,55.26,Land,49,14455.09,11070000.00,765.82
2022-03-01,2022,30,Al Hebiah Fourth,DAMAC Hills,DAMAC Hills,25.03,55.26,Unit,79,6597.47,750000.00,113.68
2022-03-01,2022,30,Al Hebiah Fourth,DAMAC Hills,DAMAC Hills,25.03,55.26,Villa,32,11577.28,2015000.00,174.13
2022-03-01,2022,32,Al Hebiah Sixth,DAMAC Lagoons,DAMAC Lagoons,25.00,55.24,Villa,20,9081.32,2675000.00,294.69
2022-03-01,2022,33,Al Hebiah Third,DAMAC Hills 2,DAMAC Hills 2,24.99,55.39,Land,17,15572.73,7514000.00,482.51
2022-03-01,2022,33,Al Hebiah Third,DAMAC Hills 2,DAMAC Hills 2,24.99,55.39,Unit,70,11161.43,1103500.00,99.03
2022-03-01,2022,33,Al Hebiah Third,DAMAC Hills 2,DAMAC Hills 2,24.99,55.39,Villa,11,8487.13,2750000.00,324.02
2022-03-01,2022,35,Al Jadaf,Al Jaddaf,Al Jaddaf,25.21,55.32,Unit,12,11411.28,667500.00,58.77
2022-03-01,2022,39,Al Khairan First,Dubai Creek Harbour,Dubai Creek Harbour,25.20,55.36,Unit,344,18333.53,1571888.00,85.73
2022-03-01,2022,44,Al Kifaf,,Al Kifaf,25.23,55.30,Unit,35,15949.75,3193777.00,200.24
